experiment,scenario,N,selector,baseline,n_pairs,mean_gain,gain_ci_low,gain_ci_high,wins,losses,ties,win_rate,sign_test_p,paired_effect_size
A_controlled_object_binding,good,1,combined_repair,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,good,2,combined_repair,raw,16,0.014748289514485327,-0.0023655095455556614,0.03186208857452631,4,1,11,0.25,0.375,0.42227104786869585
A_controlled_object_binding,good,4,combined_repair,raw,16,0.21510079046980274,0.05991558177031445,0.37028599916929106,9,1,6,0.5625,0.021484375,0.6791844932483626
A_controlled_object_binding,good,8,combined_repair,raw,16,0.07594361607061562,-0.042444639312766416,0.19433187145399766,4,4,8,0.25,1.0,0.31432486063837284
A_controlled_object_binding,good,16,combined_repair,raw,16,0.11735203714574453,0.012663778145596424,0.22204029614589266,8,4,4,0.5,0.3876953125,0.549273612443335
A_controlled_object_binding,good,32,combined_repair,raw,16,0.05640555674668894,0.00739721628112093,0.10541389721225695,9,3,4,0.5625,0.14599609375,0.5639595738871392
A_controlled_object_binding,good,64,combined_repair,raw,16,0.14242324249539118,0.006714330535741275,0.2781321544550411,7,4,5,0.4375,0.548828125,0.5142432270291243
A_controlled_object_binding,hidden_property,1,combined_repair,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,hidden_property,2,combined_repair,raw,16,0.1539134016627992,0.04386622570948853,0.2639605776161099,6,1,9,0.375,0.125,0.6853203288630392
A_controlled_object_binding,hidden_property,4,combined_repair,raw,16,0.3781600160781935,0.23688034140211664,0.5194396907542703,14,0,2,0.875,0.0001220703125,1.311571592326803
A_controlled_object_binding,hidden_property,8,combined_repair,raw,16,0.47405968887408717,0.31693858374330164,0.6311807940048727,14,1,1,0.875,0.0009765625,1.4784089467481039
A_controlled_object_binding,hidden_property,16,combined_repair,raw,16,0.5426209083623542,0.41118349572713575,0.6740583209975727,16,0,0,1.0,3.0517578125e-05,2.0228962193243163
A_controlled_object_binding,hidden_property,32,combined_repair,raw,16,0.7656112309540147,0.6957527092953806,0.8354697526126489,16,0,0,1.0,3.0517578125e-05,5.370132293961884
A_controlled_object_binding,hidden_property,64,combined_repair,raw,16,0.754632252140705,0.6944945195257294,0.8147699847556805,16,0,0,1.0,3.0517578125e-05,6.148715414935101
A_controlled_object_binding,merge_split,1,combined_repair,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,merge_split,2,combined_repair,raw,16,0.23678919736928153,0.11588055383964237,0.3576978408989207,11,0,5,0.6875,0.0009765625,0.9596229295427132
A_controlled_object_binding,merge_split,4,combined_repair,raw,16,0.48439706879973043,0.32559447426818117,0.6431996633312798,14,1,1,0.875,0.0009765625,1.4946516737465063
A_controlled_object_binding,merge_split,8,combined_repair,raw,16,0.6634450949226134,0.5759071315770654,0.7509830582681614,16,0,0,1.0,3.0517578125e-05,3.7136812885265056
A_controlled_object_binding,merge_split,16,combined_repair,raw,16,0.7217187819846604,0.644712659542394,0.7987249044269269,16,0,0,1.0,3.0517578125e-05,4.592390734095443
A_controlled_object_binding,merge_split,32,combined_repair,raw,16,0.73992807390498,0.6454840009297985,0.8343721468801616,16,0,0,1.0,3.0517578125e-05,3.8389360474607717
A_controlled_object_binding,merge_split,64,combined_repair,raw,16,0.8106334269596596,0.7624756587692881,0.858791195150031,16,0,0,1.0,3.0517578125e-05,8.248106050928886
A_controlled_object_binding,occlusion,1,combined_repair,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,occlusion,2,combined_repair,raw,16,0.3948345682199994,0.2250424184296009,0.5646267180103979,13,0,3,0.8125,0.000244140625,1.1394457203506123
A_controlled_object_binding,occlusion,4,combined_repair,raw,16,0.45036373732244095,0.2510341760729482,0.6496932985719337,13,1,2,0.8125,0.0018310546875,1.1071023781153166
A_controlled_object_binding,occlusion,8,combined_repair,raw,16,0.8437086797196498,0.7985312920612653,0.8888860673780343,16,0,0,1.0,3.0517578125e-05,9.150977391361003
A_controlled_object_binding,occlusion,16,combined_repair,raw,16,0.8226616019195709,0.7974365307606781,0.8478866730784638,16,0,0,1.0,3.0517578125e-05,15.98029921903629
A_controlled_object_binding,occlusion,32,combined_repair,raw,16,0.8359404558776633,0.8115159619848137,0.8603649497705129,16,0,0,1.0,3.0517578125e-05,16.77049379925826
A_controlled_object_binding,occlusion,64,combined_repair,raw,16,0.8199680079294374,0.78608217661979,0.8538538392390848,16,0,0,1.0,3.0517578125e-05,11.857000650623997
A_controlled_object_binding,raw,1,combined_repair,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,raw,2,combined_repair,raw,16,0.22047900390791236,0.057420514329475814,0.3835374934863489,10,4,2,0.625,0.1795654296875,0.6625518989792235
A_controlled_object_binding,raw,4,combined_repair,raw,16,0.5112031838625557,0.36548835750147657,0.6569180102236348,14,1,1,0.875,0.0009765625,1.7190396224468125
A_controlled_object_binding,raw,8,combined_repair,raw,16,0.728267115884865,0.6358288583402802,0.8207053734294498,16,0,0,1.0,3.0517578125e-05,3.8604242038148313
A_controlled_object_binding,raw,16,combined_repair,raw,16,0.8313086863059205,0.8012205661975559,0.8613968064142851,16,0,0,1.0,3.0517578125e-05,13.538275399819984
A_controlled_object_binding,raw,32,combined_repair,raw,16,0.8687345054905439,0.8489106157003959,0.8885583952806918,16,0,0,1.0,3.0517578125e-05,21.47307678747892
A_controlled_object_binding,raw,64,combined_repair,raw,16,0.8803086375224858,0.863584667097464,0.8970326079475076,16,0,0,1.0,3.0517578125e-05,25.79239387679409
A_controlled_object_binding,swap,1,combined_repair,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,swap,2,combined_repair,raw,16,0.26792980560283314,0.11172196695008152,0.42413764425558476,10,3,3,0.625,0.09228515625,0.8404546524533557
A_controlled_object_binding,swap,4,combined_repair,raw,16,0.6100509195150255,0.5339185405125821,0.686183298517469,16,0,0,1.0,3.0517578125e-05,3.926383944376267
A_controlled_object_binding,swap,8,combined_repair,raw,16,0.7147926297152196,0.6644965948657292,0.76508866456471,16,0,0,1.0,3.0517578125e-05,6.963737591016205
A_controlled_object_binding,swap,16,combined_repair,raw,16,0.7295879326355921,0.6728120282536169,0.7863638370175673,16,0,0,1.0,3.0517578125e-05,6.296651561660295
A_controlled_object_binding,swap,32,combined_repair,raw,16,0.7664740373613496,0.7294407497680497,0.8035073249546494,16,0,0,1.0,3.0517578125e-05,10.141478186641228
A_controlled_object_binding,swap,64,combined_repair,raw,16,0.7660002297256028,0.7132956709127181,0.8187047885384875,16,0,0,1.0,3.0517578125e-05,7.121587221669061
A_controlled_object_binding,good,1,identity_consistent,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,good,2,identity_consistent,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,good,4,identity_consistent,raw,16,0.19558219895285042,0.041504395212566936,0.3496600026931339,6,1,9,0.375,0.125,0.6219927540532606
