experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
F_high_n_stress,raw,raw,64,0,32,1.3372055414788406,0.0,1.0,0.0,1.0,1.0,0.7547996390841393,1.0,1.3372055414788406,0.6946612662033124,0.42383825558375526,0.9057097980409461,0.9057097980409461,0.9057097980409461,-0.4003874197982012,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,raw,identity_consistent,64,0,33,1.0103773934493638,0.0,1.0,1.0,0.0,1.0,0.7476942569415066,1.0,1.0103773934493638,0.6946612662033124,0.42383825558375526,0.9057097980409461,0.9057097980409461,0.9057097980409461,-0.4003874197982012,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,raw,targeted_probe,64,0,20,0.985315739786456,0.8939085684488367,0.0,0.0,0.0,0.0,0.15064064027726284,0.0,0.09140717133761933,0.6946612662033124,0.42383825558375526,0.9057097980409461,0.011801229592109386,0.011801229592109386,-0.4003874197982012,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,raw,combined_repair,64,0,44,1.326569519091336,0.873547518210634,0.0,0.0,0.0,0.0,0.11157709297285237,0.0,0.453022000880702,0.6946612662033124,0.42383825558375526,0.9057097980409461,0.03216227983031206,0.03216227983031206,-0.4003874197982012,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,raw,observable_repair,64,0,44,1.212463431966777,0.873547518210634,0.0,0.0,0.0,0.0,0.11157709297285237,0.0,0.33891591375614305,0.6946612662033124,0.42383825558375526,0.9057097980409461,0.03216227983031206,0.03216227983031206,-0.4003874197982012,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,raw,random,64,0,32,1.3372055414788406,0.0,1.0,0.0,1.0,1.0,0.7547996390841393,1.0,1.3372055414788406,0.6946612662033124,0.42383825558375526,0.9057097980409461,0.9057097980409461,0.9057097980409461,-0.4003874197982012,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,raw,oracle,64,0,0,0.9057097980409461,0.9057097980409461,0.0,0.0,0.0,0.0,0.2641743590915389,0.0,0.0,0.6946612662033124,0.42383825558375526,0.9057097980409461,0.0,0.0,-0.4003874197982012,oracle_upper_bound,True,True,eval_oracle,-1,0
F_high_n_stress,occlusion,raw,64,0,21,1.1264938935284878,0.045815737420543345,1.0,1.0,0.0,1.0,0.6253777304603357,1.0,1.0806781561079446,0.7087438692757368,0.42350245615362914,0.9310254523588556,0.8852097149383122,0.8852097149383122,-0.7153044684099336,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,occlusion,identity_consistent,64,0,46,0.9496469289369417,0.6542032376950105,0.0,0.0,0.0,1.0,0.6791648489138763,0.0,0.29544369124193115,0.7087438692757368,0.42350245615362914,0.9310254523588556,0.27682221466384505,0.27682221466384505,-0.7153044684099336,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,occlusion,targeted_probe,64,0,15,0.7953791735103786,0.0845555452217818,1.0,0.0,0.0,0.0,0.13409539685416347,1.0,0.7108236282885968,0.7087438692757368,0.42350245615362914,0.9310254523588556,0.8464699071370738,0.8464699071370738,-0.7153044684099336,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,occlusion,combined_repair,64,0,42,1.2335616961255362,0.8383242793908436,0.0,0.0,0.0,0.0,0.1050960898738991,0.0,0.3952374167346926,0.7087438692757368,0.42350245615362914,0.9310254523588556,0.09270117296801195,0.09270117296801195,-0.7153044684099336,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,occlusion,observable_repair,64,0,42,1.2169812437195449,0.8383242793908436,0.0,0.0,0.0,0.0,0.1050960898738991,0.0,0.3786569643287012,0.7087438692757368,0.42350245615362914,0.9310254523588556,0.09270117296801195,0.09270117296801195,-0.7153044684099336,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,occlusion,random,64,0,32,1.114901077101475,0.0,1.0,1.0,0.0,1.0,0.7308318499579971,1.0,1.114901077101475,0.7087438692757368,0.42350245615362914,0.9310254523588556,0.9310254523588556,0.9310254523588556,-0.7153044684099336,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,occlusion,oracle,64,0,59,0.9310254523588556,0.9310254523588556,0.0,0.0,0.0,0.0,0.13590403077771002,0.0,0.0,0.7087438692757368,0.42350245615362914,0.9310254523588556,0.0,0.0,-0.7153044684099336,oracle_upper_bound,True,True,eval_oracle,-1,0
F_high_n_stress,hidden_property,raw,64,0,32,0.9813824111826447,0.0,1.0,1.0,0.0,1.0,0.782072250271429,0.0,0.9813824111826447,0.612808616719472,0.6578308872152109,0.9225752929256126,0.9225752929256126,0.9225752929256126,-0.6834932892267912,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,hidden_property,identity_consistent,64,0,46,1.0402261268922088,0.754971703458531,0.0,0.0,0.0,1.0,0.7307178691234343,0.0,0.2852544234336778,0.612808616719472,0.6578308872152109,0.9225752929256126,0.16760358946708154,0.16760358946708154,-0.6834932892267912,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,targeted_probe,64,0,33,1.1133705383217192,0.9223066806281253,0.0,0.0,0.0,0.0,0.15928066349115827,0.0,0.1910638576935939,0.612808616719472,0.6578308872152109,0.9225752929256126,0.00026861229748731397,0.00026861229748731397,-0.6834932892267912,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,combined_repair,64,0,33,1.3604226990800936,0.9223066806281253,0.0,0.0,0.0,0.0,0.15928066349115827,0.0,0.43811601845196835,0.612808616719472,0.6578308872152109,0.9225752929256126,0.00026861229748731397,0.00026861229748731397,-0.6834932892267912,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,observable_repair,64,0,33,1.2363209654224245,0.9223066806281253,0.0,0.0,0.0,0.0,0.15928066349115827,0.0,0.31401428479429927,0.612808616719472,0.6578308872152109,0.9225752929256126,0.00026861229748731397,0.00026861229748731397,-0.6834932892267912,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,random,64,0,32,0.9813824111826447,0.0,1.0,1.0,0.0,1.0,0.782072250271429,0.0,0.9813824111826447,0.612808616719472,0.6578308872152109,0.9225752929256126,0.9225752929256126,0.9225752929256126,-0.6834932892267912,deployable_no_leak,False,False,none,-1,0
